CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
11000,,Jon,V,Yang,,3761 N. 14th St,,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,4/8/1966,Bachelors ,Professional,M,M,1,0,0,2,139848
11001,,Eugene,L,Huang,,2243 W St.,,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,5/14/1965,Bachelors ,Professional,M,S,0,1,3,3,106696
11002,,Ruben,,Torres,,5844 Linden Land,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0184,8/12/1965,Bachelors ,Professional,M,M,1,1,3,3,101237
11003,,Christy,,Zhu,,1825 Village Pl.,,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,2/15/1968,Bachelors ,Professional,F,S,0,1,0,0,88848
11004,,Elizabeth,,Johnson,,7553 Harness Circle,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0131,8/8/1968,Bachelors ,Professional,F,S,1,4,5,5,122653
11005,,Julio,,Ruiz,,7305 Humphrey Drive,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0151,8/5/1965,Bachelors ,Professional,M,S,1,1,0,0,101694
11006,,Janet,G,Alvarez,,2612 Berry Dr,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,12/6/1965,Bachelors ,Professional,F,S,1,1,0,0,88089
11007,,Marco,,Mehta,,942 Brook Street,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,5/9/1964,Bachelors ,Professional,M,M,1,2,3,3,88532
11008,,Rob,,Verhoff,,624 Peabody Road,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,7/7/1964,Bachelors ,Professional,F,S,1,3,4,4,81044
11009,,Shannon,C,Carlson,,3839 Northgate Road,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0110,4/1/1964,Bachelors ,Professional,M,S,0,1,0,0,104370
11010,,Jacquelyn,C,Suarez,,7800 Corrinne Court,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0169,2/6/1964,Bachelors ,Professional,F,S,0,1,0,0,92214
11011,,Curtis,,Lu,,1224 Shoenic,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0117,11/4/1963,Bachelors ,Professional,M,M,1,4,4,4,106237
11012,,Lauren,M,Walker,,4785 Scott Street,,Bremerton,Washington,United States,98312,717-555-0164,1/18/1968,Bachelors ,Management,F,M,1,2,0,2,100006
11013,,Ian,M,Jenkins,,7902 Hudson Ave.,,Lebanon,Oregon,United States,97355,817-555-0185,8/6/1968,Bachelors ,Management,M,M,1,3,0,2,135780
11014,,Sydney,,Bennett,,9011 Tank Drive,,Redmond,Washington,United States,98052,431-555-0156,5/9/1968,Bachelors ,Management,F,S,0,3,0,3,111647
11015,,Chloe,,Young,,244 Willow Pass Road,,Burbank,California,United States,91502,208-555-0142,2/27/1979,Partial College,Skilled Manual,F,S,0,1,0,0,45993
11016,,Wyatt,L,Hill,,9666 Northridge Ct.,,Imperial Beach,California,United States,91932,135-555-0171,4/28/1979,Partial College,Skilled Manual,M,M,1,1,0,0,50256
11017,,Shannon,,Wang,,7330 Saddlehill Lane,,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0195,6/26/1944,High School,Skilled Manual,F,S,1,2,0,4,21153
11018,,Clarence,D,Rai,,244 Rivewview,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0137,10/9/1944,Partial College,Clerical,M,S,1,2,0,2,43516
11019,,Luke,L,Lal,,7832 Landing Dr,,Langley,British Columbia,Canada,V3A 4R2,262-555-0112,3/7/1978,High School,Skilled Manual,M,S,0,2,0,0,54931
11020,,Jordan,C,King,,7156 Rose Dr.,,Metchosin,British Columbia,Canada,V9,550-555-0163,9/20/1978,High School,Skilled Manual,M,S,0,2,0,0,46820
11021,,Destiny,,Wilson,,8148 W. Lake Dr.,,Beaverton,Oregon,United States,97005,622-555-0158,9/3/1978,Partial College,Skilled Manual,F,S,0,1,0,0,47947
11022,,Ethan,G,Zhang,,1769 Nicholas Drive,,Bellingham,Washington,United States,98225,589-555-0185,10/12/1978,Partial College,Skilled Manual,M,M,1,1,0,0,48142
11023,,Seth,M,Edwards,,4499 Valley Crest,,Bellflower,California,United States,90706,452-555-0188,10/11/1978,Partial College,Skilled Manual,M,M,1,1,0,0,51018
11024,,Russell,,Xie,,8734 Oxford Place,,Concord,California,United States,94519,746-555-0186,9/17/1978,Partial College,Skilled Manual,M,M,1,2,0,0,95635
11025,,Alejandro,,Beck,,2596 Franklin Canyon Road,,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0178,12/23/1945,Partial High School,Clerical,M,M,1,2,1,2,32697
11026,,Harold,,Sai,,8211 Leeds Ct.,,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0131,4/3/1946,Partial College,Clerical,M,S,0,2,0,2,55270
11027,,Jessie,R,Zhao,,213 Valencia Place,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0184,12/7/1946,Partial College,Clerical,M,M,1,2,0,2,52978
11028,,Jill,,Jimenez,,9111 Rose Ann Ave,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0116,4/11/1946,Partial College,Clerical,F,M,1,2,0,2,40956
11029,,Jimmy,L,Moreno,,6385 Mark Twain,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0146,12/21/1946,Partial College,Clerical,M,M,1,2,0,2,60387
11030,,Bethany,G,Yuan,,636 Vine Hill Way,,Cloverdale,South Australia,Australia,6105,1 (11) 500 555-0182,2/22/1947,Partial High School,Clerical,F,M,1,2,1,2,27563
11031,,Theresa,G,Ramos,,6465 Detroit Ave.,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0195,8/22/1947,High School,Skilled Manual,F,M,1,2,0,4,39077
11032,,Denise,,Stone,,626 Bentley Street,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0169,6/11/1947,High School,Skilled Manual,F,M,1,2,0,4,23617
11033,,Jaime,,Nath,,5927 Rainbow Dr,,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0137,9/23/1947,High School,Skilled Manual,M,M,1,2,0,4,18564
11034,,Ebony,,Gonzalez,,5167 Condor Place,,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,6/19/1947,High School,Skilled Manual,F,M,1,2,0,4,24559
11035,,Wendy,,Dominguez,,1873 Mt. Whitney Dr,,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0177,2/24/1948,Partial High School,Clerical,F,M,1,2,1,2,12362
11036,,Jennifer,C,Russell,,3981 Augustine Drive,,National City,California,United States,91950,115-555-0183,12/18/1978,Partial College,Skilled Manual,F,M,1,2,0,0,70949
11037,,Chloe,M,Garcia,,8915 Woodside Way,,Cliffside,British Columbia,Canada,V8Y 1L1,229-555-0112,11/27/1977,Partial High School,Clerical,F,S,0,2,0,0,38491
11038,,Diana,F,Hernandez,,8357 Sandy Cove Lane,,Lavender Bay,New South Wales,Australia,2060,1 (11) 500 555-0114,3/23/1948,Partial High School,Clerical,F,M,1,2,1,2,14104
